Epoch,Train Loss,Validation Loss,Train PSNR,Validation PSNR
1,0.0025761032162420453,0.0027215077501750785,30.991721238998846,27.350172402651243
2,0.0010622308783357342,0.002640601688035531,33.945165182206345,27.355294691106455
3,0.0009909572421821454,0.0025278042571881087,34.435529712443824,27.739739263579803
4,0.0009254639947786928,0.0024604832839395384,34.81155782775353,27.92352707538088
5,0.0008934283384432395,0.0026789040917356032,35.00707800551353,27.279858446428296
6,0.0008698785034194588,0.002412327581405407,35.19224560484456,28.07825321841181
7,0.0008649984119770427,0.0024265564915549476,35.243684562722855,27.79462902492243
8,0.0008576894665385286,0.002380622823657177,35.29721036933337,28.07180471092081
9,0.0008540477887292703,0.00239639716950478,35.3283055610244,28.12764922047652
10,0.0008430769433981428,0.0023569253693131033,35.42171628687322,28.229153453653602
11,0.0008545297894626856,0.0024025557293134627,35.39247197818667,28.09175367508154
12,0.0008456802333767215,0.0023804219873272813,35.43295357745849,28.18444143968085
13,0.0008366119654352466,0.0023464392486130235,35.4636356114332,28.25323722994672
14,0.0008350741081374387,0.0023459795793314697,35.51904618440191,28.25694755001816
15,0.0008363408372737467,0.0023417487000187975,35.52778985081562,28.239742272360953
16,0.0008292488934658468,0.002327455334016122,35.54459632779864,28.292210178248652
17,0.0008278918145845334,0.00232723030327179,35.564858435818074,28.271256652195348
18,0.0008297950226192673,0.002330870794976363,35.56689515000076,28.253454474213495
19,0.0008256205481787523,0.002338115221282351,35.59742673751892,28.252340186185116
20,0.0008229836048899839,0.0023312887542851967,35.606383716635044,28.276794348907618
21,0.0008202855427314838,0.0023286599820130506,35.63125652518031,28.22090722791404
22,0.0008234160188212991,0.002350833199416229,35.60361145180853,28.198453117198596
23,0.0008278326539508999,0.0023166385759759577,35.60648973421798,28.31023170699744
24,0.0008179477578525742,0.0023418322236830134,35.629795276707966,28.081168822605967
25,0.0008200345473798612,0.0023215902957963407,35.64221119992218,28.32641731420207
26,0.0008174650262668729,0.002313087434959016,35.650988409252605,28.310102686662127
27,0.0008184095970230798,0.0023169259820497246,35.652528538141766,28.345600946235994
28,0.0008271520814299583,0.002317318838577194,35.6175426727094,28.325170682130548
29,0.0008203693433664739,0.002321885706660396,35.65350184015281,28.297884959272622
30,0.000815725492083778,0.002323348874269868,35.656472970983465,28.320042517878665
31,0.0008154848075627039,0.0023105191106151325,35.701763369910005,28.31359894266648
32,0.0008125396188596885,0.002303675924813433,35.74636706894557,28.31850400572018
33,0.0008117196254742642,0.0023040679155019463,35.71576934767989,28.347063411596793
34,0.0008120721459512909,0.002315103630317026,35.716537150903434,28.251430404007678
35,0.0008106388420735796,0.00230345361163927,35.71411627954974,28.332545978056018
36,0.0008112431089704235,0.002302586352925573,35.72333445710663,28.34117556625754
37,0.0008096815761551261,0.0023062296220086862,35.73464619565649,28.304156484192376
38,0.0008092635965906084,0.002363664188160328,35.721695674392826,27.95049041292658
39,0.0008048960042806963,0.0023012961455606273,35.749707154837985,28.341952024155365
40,0.000810595903818806,0.0023058875776769128,35.73325654279626,28.30769379414526
